incident_datetime,address_1,city,state,latitude,longitude,hour_of_day,day_of_week,parent_incident_type,,month_of_year,day_of_month,year
03/30/2016 01:12:00 AM,7200 Block CENTRAL SAANICH RD,CENTRAL SAANICH,BC,48.57631028,-123.4034614,1,Wednesday,Property Crime,,03,30,2016
03/30/2016 06:38:00 AM,2500 Block MONTE VISTA PL,CENTRAL SAANICH,BC,48.55973389,-123.3962559,6,Wednesday,Other,,03,30,2016
03/30/2016 09:32:00 AM,1500 Block HOVEY RD,CENTRAL SAANICH,BC,48.58696726,-123.4342831,9,Wednesday,Other,,03,30,2016
03/30/2016 06:18:00 PM,8100 Block EAST SAANICH RD,CENTRAL SAANICH,BC,48.60208397,-123.4170732,18,Wednesday,Traffic,,03,30,2016
06/25/2016 12:21:00 AM,WEST SAANICH RD & WALLACE DR,CENTRAL SAANICH,BC,48.57527009,-123.4453416,0,Saturday,Disorder,,06,25,2016
06/25/2016 04:09:00 AM,2100 Block KEATING CROSS RD,CENTRAL SAANICH,BC,48.56513157,-123.4127377,4,Saturday,Breaking & Entering,,06,25,2016
06/25/2016 08:35:00 AM,1800 Block KEATING CROSS RD,CENTRAL SAANICH,BC,48.56598951,-123.4254109,8,Saturday,Other,,06,25,2016
06/25/2016 08:53:00 AM,7800 Block LOCHSIDE DR,CENTRAL SAANICH,BC,48.59473761,-123.3945923,8,Saturday,Other,,06,25,2016
06/25/2016 12:21:00 PM,MT NEWTON CROSS RD & WALLACE DR,CENTRAL SAANICH,BC,48.59464812,-123.4193765,12,Saturday,Traffic,,06,25,2016
06/25/2016 12:36:00 PM,2100 Block MT NEWTON CROSS RD,CENTRAL SAANICH,BC,48.59411591,-123.410469,12,Saturday,Other,,06,25,2016
06/25/2016 05:17:00 PM,7400 Block WALLACE DR,CENTRAL SAANICH,BC,48.58395699,-123.4238878,17,Saturday,Other,,06,25,2016
06/25/2016 07:33:00 PM,PATRICIA BAY HWY & ISLAND VIEW RD,CENTRAL SAANICH,BC,48.57242915,-123.3981262,19,Saturday,Traffic,,06,25,2016
06/25/2016 10:17:00 PM,1100 Block DIGNAN RD,CENTRAL SAANICH,BC,48.57888303,-123.4497479,22,Saturday,Other,,06,25,2016
02/03/2016 12:45:00 AM,PATRICIA BAY HWY & ISLAND VIEW RD,CENTRAL SAANICH,BC,48.57243246,-123.3982613,0,Wednesday,Vehicle Stop,,02,03,2016
02/03/2016 04:38:00 AM,1000 Block CLARKE RD,CENTRAL SAANICH,BC,48.5760497,-123.4549091,4,Wednesday,Vehicle Stop,,02,03,2016
02/03/2016 06:52:00 AM,MT NEWTON CROSS RD & PATRICIA BAY HWY,CENTRAL SAANICH,BC,48.5941428,-123.3982811,6,Wednesday,Traffic,,02,03,2016
02/03/2016 08:11:00 AM,1700 Block PROSSER RD,CENTRAL SAANICH,BC,48.58880176,-123.4299862,8,Wednesday,Theft,,02,03,2016
02/03/2016 09:48:00 AM,EAST SAANICH RD & MT NEWTON CROSS RD,CENTRAL SAANICH,BC,48.59417483,-123.4169651,9,Wednesday,Liquor,,02,03,2016
02/03/2016 02:51:00 PM,1000 Block HOLLY PARK RD,CENTRAL SAANICH,BC,48.5786079,-123.4536881,14,Wednesday,Other,,02,03,2016
02/03/2016 11:00:00 PM,7900 Block LARKVALE RD,CENTRAL SAANICH,BC,48.59840607,-123.4237748,23,Wednesday,Other,,02,03,2016
02/04/2016 12:47:00 AM,1400 Block BENVENUTO AVE,CENTRAL SAANICH,BC,48.56518827,-123.4392573,0,Thursday,Liquor,,02,04,2016
02/04/2016 03:53:00 PM,PATRICIA BAY HWY & TANNER RD,CENTRAL SAANICH,BC,48.55428704,-123.3929038,15,Thursday,Traffic,,02,04,2016
02/04/2016 07:18:00 PM,WEST SAANICH RD & STELLYS CROSS RD,CENTRAL SAANICH,BC,48.57967,-123.4517357,19,Thursday,Liquor,,02,04,2016
02/05/2016 09:05:00 AM,PATRICIA BAY HWY & TANNER RD,CENTRAL SAANICH,BC,48.55428704,-123.3929038,9,Friday,Traffic,,02,05,2016
02/05/2016 09:11:00 AM,BRENTWOOD BAY,CENTRAL SAANICH,BC,48.57820572,-123.4715767,9,Friday,Theft,,02,05,2016
02/06/2016 10:03:00 AM,WEST SAANICH RD & KEATING CROSS RD,CENTRAL SAANICH,BC,48.56518098,-123.4385811,10,Saturday,Traffic,,02,06,2016
02/06/2016 04:47:00 PM,BRENTWOOD BAY,CENTRAL SAANICH,BC,48.57820572,-123.4715767,16,Saturday,Other,,02,06,2016
02/06/2016 07:33:00 PM,PATRICIA BAY HWY & ISLAND VIEW RD,CENTRAL SAANICH,BC,48.57243246,-123.3982613,19,Saturday,Traffic,,02,06,2016
02/07/2016 05:59:00 PM,7000 Block HOMATHKO RD,CENTRAL SAANICH,BC,48.57278063,-123.3673835,17,Sunday,Vehicle Stop,,02,07,2016
02/08/2016 02:22:00 PM,6600 Block WEST SAANICH RD,CENTRAL SAANICH,BC,48.56364719,-123.4370406,14,Monday,Other,,02,08,2016
02/08/2016 08:48:00 PM,MT NEWTON CROSS RD & PATRICIA BAY HWY,CENTRAL SAANICH,BC,48.5941428,-123.3982811,20,Monday,Traffic,,02,08,2016
02/08/2016 11:08:00 PM,EAST SAANICH RD & MT NEWTON CROSS RD,CENTRAL SAANICH,BC,48.59417483,-123.4169651,23,Monday,Other,,02,08,2016
02/09/2016 09:48:00 AM,TANNER RD & PATRICIA BAY HWY,CENTRAL SAANICH,BC,48.55428704,-123.3929038,9,Tuesday,Traffic,,02,09,2016
02/09/2016 03:19:00 PM,KEATING CROSS RD & CENTRAL SAANICH RD,CENTRAL SAANICH,BC,48.5651324,-123.4035358,15,Tuesday,Traffic,,02,09,2016
02/12/2016 12:11:00 AM,1000 Block DAMELART WAY,CENTRAL SAANICH,BC,48.57695826,-123.4578378,0,Friday,Disorder,,02,12,2016
10/27/2015 11:11:00 AM,1800 Block CULTRA AVE,CENTRAL SAANICH,BC,48.59233683,-123.422211,11,Tuesday,Drugs,,10,27,2015
04/25/2016 12:24:00 AM,8100 Block EAST SAANICH RD,CENTRAL SAANICH,BC,48.60505435,-123.4179937,0,Monday,Theft,,04,25,2016
11/05/2015 07:32:00 AM,6300 Block MARIE MEADOWS RD,CENTRAL SAANICH,BC,48.55391453,-123.3953596,7,Thursday,Disorder,,11,05,2015
