incident_type_primary,city,state,hour_of_day,day_of_week,parent_incident_type,month_of_year,day_of_month,year
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,4,6,1,4,2,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,23,5,1,4,8,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,1,4,1,6,30,2016
ASSAULTS-OTHER,VICTORIA,BC,22,0,1,1,10,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,18,0,1,9,18,2016
ASSAULTS-OTHER,VICTORIA,BC,16,3,1,2,10,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,22,1,1,10,31,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,10,0,1,10,30,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,2,0,1,8,7,2016
ASSAULTS-OTHER,VICTORIA,BC,19,3,1,11,2,2016
ASSAULTS-OTHER,VICTORIA,BC,5,6,1,4,2,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,13,5,1,7,22,2016
ASSAULTS-OTHER,VICTORIA,BC,13,4,1,8,11,2016
ASSAULTS-OTHER,VICTORIA,BC,15,4,1,2,25,2016
ASSAULTS-OTHER,VICTORIA,BC,10,6,1,7,2,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,17,6,1,7,2,2016
ASSAULTS-OTHER,VICTORIA,BC,19,6,1,5,21,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,21,5,1,5,13,2016
ASSAULTS-OTHER,VICTORIA,BC,13,4,1,3,10,2016
ASSAULTS-OTHER,VICTORIA,BC,16,5,1,2,12,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,21,6,1,4,16,2016
ASSAULTS-OTHER,VICTORIA,BC,19,0,1,4,17,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,0,1,1,3,21,2016
ASSAULTS-OTHER,VICTORIA,BC,3,4,1,5,5,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,12,5,1,5,20,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,12,2,1,3,22,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,19,2,1,3,22,2016
ASSAULTS-OTHER,VICTORIA,BC,23,0,1,7,17,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,20,6,1,4,9,2016
ASSAULTS-OTHER,VICTORIA,BC,12,3,1,2,17,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,13,3,1,4,27,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,12,3,1,3,23,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,0,6,1,7,30,2016
ASSAULTS-OTHER,VICTORIA,BC,18,2,1,7,5,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,22,2,1,7,5,2016
ASSAULTS-OTHER,VICTORIA,BC,17,4,1,6,2,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,17,0,1,4,10,2016
ASSAULTS-OTHER,VICTORIA,BC,11,0,1,4,10,2016
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,19,3,1,4,20,2016
ASSAULTS-OTHER,VICTORIA,BC,13,4,1,2,18,2016
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,5,6,1,2,18,2012
ASSAULTS-OTHER,VICTORIA,BC,6,0,1,2,19,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,0,1,2,19,2012
