incident_type_primary,address_1,city,state,latitude,longitude,hour_of_day,day_of_week,parent_incident_type
BYLAW-NOISE,2700 Block CEDAR HILL RD,VICTORIA,BC,48.44045316,-123.3445199,0,Wednesday,Other
LIQUOR-INTOX IN PUBLIC PLACE,CENTENNIAL SQ,VICTORIA,BC,48.42856537,-123.3650228,0,Wednesday,Liquor
LIQUOR-INTOX IN PUBLIC PLACE,DOUGLAS ST & FORT ST,VICTORIA,BC,48.4246439,-123.3653604,2,Sunday,Liquor
LIQUOR-INTOX IN PUBLIC PLACE,DOUGLAS ST & PANDORA AVE,VICTORIA,BC,48.42802963,-123.3645129,0,Wednesday,Liquor
SUSPICIOUS PERS/VEH/OCCURRENCE,SHAKESPEARE ST & DENMAN ST,VICTORIA,BC,48.43260094,-123.3356495,1,Wednesday,Other
LIQUOR-INTOX IN PUBLIC PLACE,DOUGLAS ST & JOHNSON ST,VICTORIA,BC,48.42717744,-123.3646953,1,Wednesday,Liquor
SUSPICIOUS PERS/VEH/OCCURRENCE,400 Block GARBALLY RD,VICTORIA,BC,48.44020395,-123.3750365,1,Wednesday,Other
IMPAIRED OP MOTOR VEH (ALCOH),ESQUIMALT RD & MACAULAY ST,VICTORIA,BC,48.42912124,-123.4035828,1,Wednesday,Traffic
CYCLIST,GORGE BRDG & TILLICUM RD,VICTORIA,BC,48.44650918,-123.4003331,2,Wednesday,Vehicle Stop
BYLAW-NOISE,2700 Block CEDAR HILL RD,VICTORIA,BC,48.44095409,-123.3443568,4,Wednesday,Other
THEFT-SHOPLIFTING UNDER $5000,1500 Block COOK ST,VICTORIA,BC,48.42745008,-123.353211,4,Wednesday,Theft
COLLISION-NON-FATAL INJURY,BLANSHARD ST & FINLAYSON ST,VICTORIA,BC,48.44559562,-123.3666382,7,Wednesday,Traffic
THEFT-OTHER UNDER $5000,1300 Block PEMBROKE ST,VICTORIA,BC,48.43136546,-123.3446254,7,Wednesday,Theft
SUSPICIOUS PERS/VEH/OCCURRENCE,200 Block BAY ST,VICTORIA,BC,48.43340173,-123.3814866,8,Wednesday,Other
COLLISION-NON-FATAL INJURY,DOUGLAS ST & COURTNEY ST,VICTORIA,BC,48.42301887,-123.3657365,8,Wednesday,Traffic
SUSPICIOUS PERS/VEH/OCCURRENCE,COOK ST & MEARES ST,VICTORIA,BC,48.42291002,-123.3541397,8,Wednesday,Other
TRAFFIC-INSURANCE VIOLATION,1600 Block HILLSIDE AVE,VICTORIA,BC,48.44525461,-123.3342615,8,Wednesday,Traffic
CAUSE A DISTURBANCE,1200 Block JOHNSON ST,VICTORIA,BC,48.42556807,-123.3489987,1,Wednesday,Disorder
CAUSE A DISTURBANCE,900 Block PANDORA AVE,VICTORIA,BC,48.42747325,-123.358472,9,Wednesday,Disorder
CAUSE A DISTURBANCE,500 Block DISCOVERY ST,VICTORIA,BC,48.43186397,-123.3692921,0,Saturday,Disorder
BYLAW-NOISE,2000 Block QUADRA ST,VICTORIA,BC,48.43191978,-123.3584935,0,Saturday,Other
LIQUOR-INTOX IN PUBLIC PLACE,OSWEGO ST & SUPERIOR ST,VICTORIA,BC,48.4195661,-123.3763167,0,Saturday,Liquor
LIQUOR-INTOX IN PUBLIC PLACE,700 Block COURTNEY ST,VICTORIA,BC,48.42295478,-123.3653353,0,Saturday,Liquor
CAUSE A DISTURBANCE,500 Block ELLICE ST,VICTORIA,BC,48.43899803,-123.3718643,1,Saturday,Disorder
TRAFFIC-OTHER MOVING PROV,PANDORA AVE & FORT ST,VICTORIA,BC,48.42650427,-123.3370725,2,Saturday,Traffic
TRAFFICK-CANNABIS 3000G & UNDR,BRIDGE ST & ELLICE ST,VICTORIA,BC,48.43889304,-123.3730848,2,Saturday,Drugs
SUSPICIOUS PERS/VEH/OCCURRENCE,1500 Block DOUGLAS ST,VICTORIA,BC,48.42812869,-123.3645074,2,Saturday,Other
THEFT FROM MV UNDER $5000,1500 Block HILLSIDE AVE,VICTORIA,BC,48.44290585,-123.3401979,2,Saturday,Theft from Vehicle
CAUSE A DISTURBANCE,1100 Block WHARF ST,VICTORIA,BC,48.4252481,-123.369795,2,Saturday,Disorder
THEFT-SHOPLIFTING UNDER $5000,900 Block YATES ST,VICTORIA,BC,48.4256248,-123.3588451,2,Saturday,Theft
THEFT-OTHER UNDER $5000,1100 Block GOVERNMENT ST,VICTORIA,BC,48.42554909,-123.3677544,3,Saturday,Theft
